Clone,Rater,Maternal Parent,Paternal Parent,Cross,EVAL Year,EVAL Location,Rel/BRD,Mature Leaf Color,Branching,Plant Type,Climbing,Flower Habit,Savoy,Vigor,Color Uniformity,Overall App.,Comments,,Breeding
9506-005,DG,8839-008,8552-018,8839-008x8552-018,2012,HCRS,4,0,5,3;4;6,,6,,6,6,4,dark purp heart with dark tips and teeth cross ofvtip var and margin var. some tip var on older leaves. c tobgood reds and tip var.,,
9506-006,DG,8839-008,8552-018,8839-008x8552-018,2012,HCRS,4,p3,5,3;4,,6,,5,7,6,dark purp sc with dark tips. cross of tip and margin var. backcross and x into reds.,,
9506-008,DG,8839-008,8552-018,8839-008x8552-018,2012,HCRS,12,p3,4,3;4,,5,,6,7,5,dark sc purp eith dark tips open habit great color. breeding,,
9506-012,DG,8839-008,8552-018,8839-008x8552-018,2012,HCRS,4,13,4,,,5,,5,0,5,marin sc with dark tips andvrough savoy. dark clustered tips give wsy to var leaves. x into good reds. cuttings.,,
9507-001,DG,8839-017,8552-018,8839-017x8552-018,2012,HCRS,4,13,4,3;4,,6,,5,0,4,purple sc fat lobes rough savoy margin  vsr on older leaves. backcross  to margin vsr and good reds.,,
9508-002,DG,8894-018,8339-003,8894-018x8339-003,2012,HCRS,4,p1,5,3;4,,10,,5,5,5,sc purple a little trailing asym. 1/2 margin var backcross  to vars,,
9509-002,DG,8894-023,8339-003,8894-023x8339-003,2012,HCRS,4,p3,5,3;4,,0,,5,7,6,nice dark tweener good uniformity.1/2 margin var. backcross to margins,,
9515-001,DG,8827-019,10-275,8827-019x10-275,2012,HCRS,4,8,6,3;4,,5,,6,2,3,wilt tolerant group. acceptable plant habit. poor color.,,
9515-002,DG,8827-019,10-275,8827-019x10-275,2012,HCRS,4,8,4,3;4,,5,,7,2,3,wilt tolerant group. acceptable plant habit. poor color.,,
9517-001,DG,8856-006,10-275,8856-006x10-275,2012,HCRS,4,8,5,3;4,,5,,5,2,3,wilt tolerant group. acceptable plant habit. poor color.,,
9518-001,DG,8856-019,10-275,8856-019x10-275,2012,HCRS,4,8,5,3;4,,5,,6,2,3,wilt tolerant group. acceptable plant habit. poor color.,,
9532-002,DG,8061-016,8211-003,8061-016x8211-003,2012,HCRS,12,11,4,3;4,,0,,5,6,5,dark lobed red almost hastate. ebb. jim pick. x to Mr Big. advanced?,,
9532-004,DG,8061-016,8211-003,8061-016x8211-003,2012,HCRS,12,11,5,3;4,,0,,5,7,7,sc red dark small leaves low growing vg overall. advanced,,
9538-001,DG,8229-001,8061-016,8229-001x8061-016,2012,HCRS,12,10,3,3;4,,10,,3,6,4,lobed red with good tone and base. weak here. x into dark sc.,,
9538-002,DG,8229-001,8061-016,8229-001x8061-016,2012,HCRS,7;12;10,11,7,3;4,,0,,6,6,6,red with very good color tone and uniformity . one or teo older leaves frosted. use for color breeding only ,,
9540-001,DG,8558-004,8213-008,8558-004x8213-008,2012,HCRS,12,10,5,3;4,,0,,5,5,5,red sc eith good tone and base color. ebb. ,,
9543-007,DG,8942-028,9000-001,8942-028x9000-001,2012,HCRS,12,10,5,3;4;6,,0,,5,6,5,bronze sc eith small leaves and tips held upright away from plant.good base color. interesting. Advanced?,,
9544-014,DG,8995-001,9000-001,8995-001x9000-001,2012,HCRS,12,1,6,3;4,,5,,7,7,7,very nice sc goog color and habit. Advanced  ,,
9546-001,DG,8998-004,8956-029,8998-004x8956-029,2012,HCRS,12,11,4,3;4,,0,,5,6,5,sc red ebb good base color some savoy. breeding only.,,
9546-003,DG,8998-004,8956-029,8998-004x8956-029,2012,HCRS,12,11,6,3;4,,0,,6,7,7,sc red dark good color and uniformity.s9ome very slight frosting . advanced actually  rated 9546-003 here switch it later?,,
9547-001,DG,9000-001,8558-004,9000-001x8558-004,2012,HCRS,12,11,6,3;4,,0,,6,6,6,dark sc ted dome savoy and cupping. ebg. overall vg,,
9547-002,DG,9000-001,8558-004,9000-001x8558-004,2012,HCRS,12,11,3,3;4,,0,,3,8,4,red sc with vg color. plant habit poor. x to reds with branches and good habit. breeding only.,,
9558-002,DG,8213-008,8223-003,8213-008x8223-003,2012,HCRS,1;12,11,5,3;4,,0,,5,7,6,"tweener red. dark good color one dead here, nice",,
9560-001,DG,8213-008,8956-029,8213-008x8956-029,2012,HCRS,12;1,11,5,3;4,,10,,6,6,6,nice red tweener. a little dark. some frosting. some oln. breeding only,,
9560-002,DG,8213-008,8956-029,8213-008x8956-029,2012,HCRS,12,11,4,3;4,,0,,3,7,5,libed red excellent color one plant dead here. a little weak. colorvg. breeding only.,,
9560-006,DG,8213-008,8956-029,8213-008x8956-029,2012,HCRS,12,11,5,3;4,,0,,6,6,5,lobed red with vg color good bade some slight frosting breeding only.,,
9563-002,DG,8223-003,8942-029,8223-003x8942-029,2012,HCRS,12;1,11,5,3;4,,10,,5,6,5,tweener red with bronze tipd. nice color tone. some frosting use for color.,,
9565-003,DG,8519-009,8863-055,8519-009x8863-055,2012,HCRS,1;12;8,1,6,3;4,,0,,6,6,6,nice lime meatbsll with veins. tweener. some washing. send advanced  as prominent veins? to limes with poor habit,,
9574-002,DG,8965-001,8948-001,8965-001x8948-001,2012,HCRS,1;12,11,6,3;4,,0,,6,7,7,very nice red tweener. excelkent color some frosting very slight. good base color. advanced?,,
9575-018,DG,8967-011,8948-001,8967-011x8948-001,2012,HCRS,1;12,12,7,3;4,,0,,6,6,7,tweener red vg color meatball but not tall some slight frosting. jim pick. advanced,,
9578-013,DG,8854-142,9034-001 (maybe self),8854-142x9034-001 (maybe self),2012,HCRS,3,10,4,3;4;6,,0,,5,5,4,bronzevred heart with lobes. pinkish cast. good base color x to dark heart with good leaf shape and habit. ,,
9578-022,DG,8854-142,9034-001 (maybe self),8854-142x9034-001 (maybe self),2012,HCRS,3,1,4,3;6,,5,,5,7,5,nice lime heart smalker leaves good uniformity x into dark red hearts cuttings? ,,
9578-025,DG,8854-142,9034-001 (maybe self),8854-142x9034-001 (maybe self),2012,HCRS,3,1,6,3;6,,6,,7,6,6,lime nheart good uniformity. small leaves. trailing,,
9604-010,DG,8923-008,8948-001,8923-008x8948-001,2012,HCRS,1;4,p2,6,3;5,,0,,6,6,6,purple with thin lobes on small leaves. jim pick. send as open habit for combos advanced.,,
9604-011,DG,8923-008,8948-001,8923-008x8948-001,2012,HCRS,1;12,11,6,3;4,,0,,7,7,7,nice dark sc. jim pick. some light frosting. advancrf.,,
9608-002,DG,8924-009,8937-001,8924-009x8937-001,2012,HCRS,4;11,p1,6,3;5,,0,,6,5,5,purple with libe on lobe. 1/2 red. x into reds,,
9609-007,DG,8924-009,8939-001,8924-009x8939-001,2012,HCRS,4;11,8,5,3;4,,5,,6,3,4,purple crown with lobe on lobe. 1/2 red. x into reds.,,
9609-012,DG,8924-009,8939-001,8924-009x8939-001,2012,HCRS,10;11,p1,6,3;4,,0,,5,4,5,bw with poor color 1/2 red. x into red hearts wiyh good color.,,
9612-002,DG,8937-002,8829-067,8937-002x8829-067,2012,HCRS,1;11,p2,6,3;4;5,,10,,6,6,6,nice purple eith thin lobes upright african habit 1/2 lime? very dark for this background.,,
9619-052,DG,8397-049,8729-001,8397-049x8729-001,2012,HCRS,10,1,5,3;4,,0,,5,4,5,bw yellow with smalker leaves veind on top of leaf.very similar to BW GWE.,,
9619-066,DG,8397-049,8729-001,8397-049x8729-001,2012,HCRS,10,1,4,3;6,,5,,7,4,4,bw lime good teeth. poor habit. breeding  only  ,,
9625-001,DG,8825-068,8924-010,8825-068x8924-010,2012,HCRS,4;10,7,7,1;5,,0,,5,6,6,cool bw purp with  fan  ginkgo . very  frosted. great  teeth. cool  plant.   ,,
9627-002,DG,8828-052,8924-006,8828-052x8924-006,2012,HCRS,10,p2,5,3;4,,0,,6,6,6,"bw purp with wide spaced terth, slight ebg thinner stems nuce. advanced?",,
9627-003,DG,8828-052,8924-006,8828-052x8924-006,2012,HCRS,4;10,p1,5,3;4,,10,,6,4,5,nice bw purp with goid teeth and good savoy ebg. x for savoy. cuttings.,,
9628-002,DG,8828-052,9013-003,8828-052x9013-003,2012,HCRS,10;4,p2,5,3;4,,0,,6,6,6,"bw purp good color. needs more teeth. thick dtems, jim pick.",,
9628-003,DG,8828-052,9013-003,8828-052x9013-003,2012,HCRS,10;4,p1,5,3;4,,0,,6,4,5,bw purple ebg but good teeth. some frosting some good savoy.,,
9628-010,DG,8828-052,9013-003,8828-052x9013-003,2012,HCRS,4,p3,4,3;4,,0,,4,6,5,purple with savoy and random teeth. goid color savoy is uneven.thick stems x into savoy for color.,,
9628-013,DG,8828-052,9013-003,8828-052x9013-003,2012,HCRS,4,p1,3,3;4,,0,,6,4,4,lobed purp savoy with cupping. thick stems oln. savoy good on young leaves.,,
9629-004,DG,8856-006,8924-006,8856-006x8924-006,2012,HCRS,10,p2,6,3;4,,0,,7,7,6,bw purple. vg color. good teeth. slight white rust. advanced?,,
9629-006,DG,8856-006,8924-006,8856-006x8924-006,2012,HCRS,10,11,5,3;4,,0,,5,6,6,nice upright red with dark lobed bw leaves. needs more teeth or lobes. ebg.,,
9629-013,DG,8856-006,8924-006,8856-006x8924-006,2012,HCRS,10,p3,4,3;4,,0,,6,6,6,bw purple with savoy. good color and teeth. use for bw and savoy crosses,,
9630-007,DG,8856-019,8924-010,8856-019x8924-010,2012,HCRS,10,p3,4,3;4,,0,,6,7,6,nice dark bw purple  large teeth widely spaced nice advanced. x to tip var jim pick  . ,,
9630-015,DG,8856-019,8924-010,8856-019x8924-010,2012,HCRS,10;11,p3,6,3;4,,0,,6,6,6,nice bw purp with lobes and teeth. advanced.,,
9630-026,DG,8856-019,8924-010,8856-019x8924-010,2012,HCRS,10,p2,4,3;4,,0,,5,6,6,"bw purple good teeth ebg but slightly, jim pick. Advanced  ",,
9631-002,DG,8924-006,8825-068,8924-006x8825-068,2012,HCRS,10,p2,4,3;4,,5,,5,6,6,"nice  bw with long center lobe. good color but ebg, jim pick. Advanced?",,
9633-001,DG,8924-010,SELF,8924-010xSELF,2012,HCRS,10,10,6,3;4,,0,,5,4,5, bw red ebb okay teeth. dark fading to bronze some burning. good base cplor. x into red bw.,,
9635-001,DG,9010-003,8729-001,9010-003x8729-001,2012,HCRS,4;10,2,5,7,,0,,8,8,5,cool green vining plant wit excellent  fan ginkgo  leaves and teeth.1/2 lime? x into nice tight lime bw.,,
9635-023,DG,9010-003,8729-001,9010-003x8729-001,2012,HCRS,10;3,1,5,3;4,,5,,5,6,5,bw with hesrt shsoed smaller leaves. meatball. some savoy and cupping.  ,,
9635-024,DG,9010-003,8729-001,9010-003x8729-001,2012,HCRS,1;4;3,1,5,3;4,,6,,6,6,5,lime heary bw with good uniformity open habit upright tips. some savoy.,,
9635-039,DG,9010-003,8729-001,9010-003x8729-001,2012,HCRS,10,1,5,3;4,,0,,5,5,5,lime bw mestball. okay teeth. a little lime breeding only.,,
9635-040,DG,9010-003,8729-001,9010-003x8729-001,2012,HCRS,4,1,3,6,,0,,3,4,4,lime yellow with fan shsped leaf. unique leaf plant is week.,,
9635-045,DG,9010-003,8729-001,9010-003x8729-001,2012,HCRS,3;10,1,4,3;4,,0,,5,5,5,yellow bw low vigor and eblime good tone oversll. needs uniformity . ,,
9635-046,DG,9010-003,8729-001,9010-003x8729-001,2012,HCRS,5;10,1,6,3;6,,6,,6,5,6,bw yellow with small heart leaves. Vining  and climbing ? needs teeth. x for climbing.,,
9635-059,DG,9010-003,8729-001,9010-003x8729-001,2012,HCRS,10;3,0-1,5,3;4,,0,,4,5,5,yellow bw with small leavrs. x into red bws. nice but lower vigor,,
9635-060,DG,9010-003,8729-001,9010-003x8729-001,2012,HCRS,10,1,5,3;4,,10,,6,6,5,bw lime good teeth. too lime. liw spreading habit x to reds with good tone and yellows.,,
9635-064,DG,9010-003,8729-001,9010-003x8729-001,2012,HCRS,10,0-1  ,6,3;4;6,,10,,6,7,7,"very nice yellow bw with few teeth, vg color. needs teeth. x into reds and toothed limes. send advanced for containers?",,
9635-065,DG,9010-003,8729-001,9010-003x8729-001,2012,HCRS,10,1,6,3;4,,0,,4,5,4,bw yellow wiyh small lesves and thin stems. color wsshes here nice meatbsll. x into thick stemmed bw red and lime.,,
9635-072,DG,9010-003,8729-001,9010-003x8729-001,2012,HCRS,10;5,1,5,3;4;6,,5,,7,6,5,bw lime slightly  trailing. tips upright and twining. climber? a littke too dark. needs more teeth.split corolla  on flower   breeding  only  ,,
9635-075,DG,9010-003,8729-001,9010-003x8729-001,2012,HCRS,10;3,0-1  ,6,3;4,,0,,7,6,6,yellow lime heart with teeth. uniformity  not great. thin stems. breeding  only  ,,
9635-078,DG,9010-003,8729-001,9010-003x8729-001,2012,HCRS,10,1,5,3;4,,10,,6,6,6,bw yellow lime with upright tips. good teeyh. color  washes.,,
9637-013,DG,9013-003 poss self,8924-010,9013-003 poss selfx8924-010,2012,HCRS,10,p1,5,3;4,,0,,5,3,5,bw purp  with smaller  leaves. good teeth. x into red hearts and into other bw with color.,,
9637-015,DG,9013-003 poss self,8924-010,9013-003 poss selfx8924-010,2012,HCRS,10,8,5,3;4;6,,0,,6,3,4,bw with smaller leaves. good teeth. terriblecolor x into reds and other purp bw.,,
9637-019,DG,9013-003 poss self,8924-010,9013-003 poss selfx8924-010,2012,HCRS,10,p1,5,3;4,,0,,6,4,5,bw purp. jim pick ebg and oln.goid teeth . advanced ? ,,
9638-007,DG,9013-003,SELF,9013-003xSELF,2012,HCRS,10;4,p1,4,3;4,,5,,4,4,6,toothrd purple with upright tips. bronze new growth.a little distortion on the leaves. unique  cool.,,
9638-019,DG,9013-003,SELF,9013-003xSELF,2012,HCRS,10;4,p1,4,2;4,,0,,4,3,4,bw with scalloped leaves. good teeth. poir color. breeding only.,,
9638-045,DG,9013-003,SELF,9013-003xSELF,2012,HCRS,10,p2,4,6;4,,0,,6,5,5,"bw purple with good teeth. color okay, thick stems. breeding only. x to better branching aand habit.",,
9638-052,DG,9013-003,SELF,9013-003xSELF,2012,HCRS,10;4,p1,5,3;4,,0,,5,5,6,nice dark bw with smaller leaves . good  teeth ebg. jim pick. Advanced?,,
9638-070,DG,9013-003,SELF,9013-003xSELF,2012,HCRS,10;4,8,4,3;4,,0,,5,3,4,bw with small leaves and savoy.tips have a redfish cast. x into reds color poor.,,
9641-001,DG,9025-002,8410-001,9025-002x8410-001,2012,HCRS,4,p1,5,3;4,,6,,6,4,5,purple heart with good savoy color is poor pkant habit very good cuttings x for savoy.,,
9643-001,DG,7599-009,6543-001,7599-009x6543-001,2012,HCRS,4,3,5,3;4,,5,,5,8,6,green heart with vg savoy 1/2 lime? x for savoy.,,
9644-001,DG,7205-010,7599-009,7205-010x7599-009,2012,HCRS,4,13,1,2,,0,,2,0,3,variegated  purple  with  green tip. color fades along veins .  x to reds.,,
9644-004,DG,7205-010,7599-009,7205-010x7599-009,2012,HCRS,4,p1,5,3;4,,5,,5,4,5,purp heart with excellent  savoy ebg. hearts elongated . ,,
9649-001,DG,7599-009 poss self,OP,7599-009 poss selfxOP,2012,HCRS,12;6,1,5,3;4,,7,,5,7,5,lime sc small  leaves  white  flowers.too lime breeding only good uniformity    ,,
9650-001,DG,7608-005,7205-010,7608-005x7205-010,2012,HCRS,4,6,3,3;4,,0,,4,2,4,purple heart with vg savoy. volor very poor. breeding only.,,
9650-003,DG,7608-005,7205-010,7608-005x7205-010,2012,HCRS,4,p1;13,5,3;4,,6,,5,4,4,purple heart poir color good savoy some margin var is showing.,,
9650-005,DG,7608-005,7205-010,7608-005x7205-010,2012,HCRS,4,p1,3,2;4,,5,,3,4,4,heart with very  good savoy. weak here x into savoy.,,
9650-006,DG,7608-005,7205-010,7608-005x7205-010,2012,HCRS,4,p1,4,2;4,,,,3,3,4,heart with savoy. poor purple color vg savoy.,,
9650-007,DG,7608-005,7205-010,7608-005x7205-010,2012,HCRS,4,p2,5,3;4,,0,,5,6,5,purple heart with good savoy.ebg thick stems  ,,
9650-008,DG,7608-005,7205-010,7608-005x7205-010,2012,HCRS,4,p2,5,3;4,,4,,6,5,5,dark purple heart w good savoy some leaved showing margin var. x into margins.,,
9650-009,DG,7608-005,7205-010,7608-005x7205-010,2012,HCRS,4,p1,4,3;4,,3,,4,5,5,purple heart poor color. vg savoy. breeding only,,
9651-001,DG,6783-072,8226-078,6783-072x8226-078,2012,HCRS,4,p1,4,3;4,,4,,4,5,4,purple  savoy with  teeth . ebg.a little  reddish . variable  leaf size and shape . ,,
9057-002,DG,5576-039,OP,5576-039xOP,2012,HCRS,4,P1,5,7,,6,,8,4,5,Purple w/ var. margin EBG. Not best margin type. Collect seed,,
9057-004,DG,5576-039,OP,5576-039xOP,2012,HCRS,4,P1,4,"3,4",,6,,6,5,6,Purple hastate with var. margins. Margin pats pigment acceptable way . Collect seed ,,
9059-006,DG,7189-097,OP SC Pur,7189-097xOP SC Pur,2016,HCRS,12,P2,5,"3, 4",,0,,6,5,5,"Dark purple SC type, Central lobe too fat. Rough/light savoy, cupping. Nice plant",,
9059-011,DG,7189-097,OP SC Pur,7189-097xOP SC Pur,2016,HCRS,12 sav,P3,4,3,,0,,5,7,5,"dark purple SC type with green tips, thick stems, some savoy, cupped lvs",,
9059-016,DG,7189-097,OP SC Pur,7189-097xOP SC Pur,2016,HCRS,"2,10",p3,5,2,,3b,,4,7,4,"dark purple, toothed, heart with slight cupping and light savoy, good color, EBG",,
9059-019,DG,7189-097,OP SC Pur,7189-097xOP SC Pur,2016,HCRS,2 sav,P3,4,3,,0,,5,6,5,"nice dark purple heart w cupping and savoy thick stems, very small amt of frosting, leaf curls, background, mina?",,
9059-032,DG,7189-097,OP SC Pur,7189-097xOP SC Pur,2016,HCRS,10,p3,4,"3,6",,0,,5,5,,"purple BW type, dwarf, cool plant",,
9059-036,DG,7189-097,OP SC Pur,7189-097xOP SC Pur,2016,HCRS,12,p3,5,3,,0,,6,7,6,"purple SC type with cupping, slight savoy, meatball",,
9059-044,DG,7189-097,OP SC Pur,7189-097xOP SC Pur,2016,HCRS,"2,10",p3,4,3,,3r,,6,6,6,"big purple heart with savoy, slight tooth, thickish stems",,
9059-049,DG,7189-097,OP SC Pur,7189-097xOP SC Pur,2016,HCRS,2,p3,4,3,,0,,5,6,5,"big purple heart with savoy, thick stems, some frosting",,
9059-064,DG,7189-097,OP SC Pur,7189-097xOP SC Pur,2016,HCRS,12,p3,5,"3, 4",,0,,5,6,5,"Dark purple SC type, Central lobe too fat. Rough/light savoy, cupping. Nice plant. Better color than 9059-006",,
9059-069,DG,7189-097,OP SC Pur,7189-097xOP SC Pur,2016,HCRS,12,p3,4,"3,4",,0,,4,6,5,"Dark purple SC type, Central lobe too fat. Rough/light savoy, cupping. Nice plant. Less vigor than 9059-006 and 9059-064.",,
9060-026,DG/MR,8104-004,OP,8104-004xOP,2016,HCRS,"11, 1",1,4,"3, 6",,-,,4,5,4,"divided lime crown, lobing, delicate look, few deformed leaves",,
9060-041,DG/MR,8104-004,OP,8104-004xOP,2016,HCRS,11,1,5,"3, 6",,5 b,,7,5,,"lime slight crown, one plant not as uniform, virus? Good vigor from that parent, buds",,
9060-079,DG,8101-004,OP CRW,8101-004xOP CRW,2016,HCRS,11,2,4,"3,4",,B4,,7,3,4,"Crown type, w/ poor color. Good CR leaf shape. Breeding only",,
9061-004,DG,8107-003,OP Adv,8107-003xOP Adv,2016,HCRS,10,p3,3,3,,0,,4,7,5,"dark purple bw type, thick stems asym, good color, cross into bw for color",,
9061-005,DG,8107-003,OP Adv,8107-003xOP Adv,2016,HCRS,11,p2,5,3,,2b,,4,6,5,"dark purple Cr type, nice green tips, cross to thinner Cr.  Use for color",,
9061-014,DG,8107-003,OP Adv,8107-003xOP Adv,2016,HCRS,11,p0,5,3,,5,,6,4,5,"crown type, not flat base  Ebg",,
9061-017,DG,8107-003,OP ADV,8107-003xOP ADV,2016,HCRS,12,p3,5,"3,4",,5,,5,6,6,"Jim Pick, Nice Purple SC. ADV? OLN",,
9061-018,DG,8107-003,OP ADV,8107-003xOP ADV,2016,HCRS,12,p2,6,"3,4",,B3,,7,6,6,"Purple SC type. Nice plant. Some OLN, ADV? Fat Central Lobe.",,
9061-022,DG,8107-003,OP Adv,8107-003xOP Adv,2016,HCRS,11,p2,7,2,,2b,,6,5,6,"nice tight dark purple, slight crown leaf, cross to trailing, crons for habit",,
9062-014,DG,8213-004,OPILL,8213-004xOPILL,2012,HCRS,11,10,5,"3,4,6",,B3,,6,5,5,"Red with variable leaves, color okay, plant okay X into crowns.",,
9062-034,DG,8213-004,OPILL,8213-004xOPILL,2012,HCRS,"1,5",P1,6,"6,8",,6,,7,3,4,"Red IL type, climbing with big flowers. Poor ase X into climbers",,
9063-003,DG,8339-003,OP Adv,8339-003xOP Adv,2016,HCRS,11,p3,4,3,,0,,5,6,6,"dark crown, fat central lobe, cross to thinner crowns, tips are nice, green",,
9063-003,DG,8339-003,OP ADV,8339-003xOP ADV,2016,HCRS,"11,12",p2,6,"3,4",,0,,7,7,6,Purple SC type. Not a match to SC breed to Crowns,,
9063-004,DG,8339-003,OP ADV,8339-003xOP ADV,2016,HCRS,"4,3",p3,6,"3,4",,0,,6,7,6,Dark purple heart w/ savoy. Graft and cross to purple savoys and 9145-049,,
9063-005,DG,8339-003,OP Adv,8339-003xOP Adv,2016,HCRS,3,p4,4,3,,5,,4,7,6,"nice purple heart, similar to jet black, flowering, use for color. Green tips",,
9063-010,DG,8339-003,OP Adv,8339-003xOP Adv,2016,HCRS,3,p3,4,3,,3b,,4,7,6,"Purple heart with dark tips, leaf variable in size, use for color",,
9063-011,DG,8339-003,OP Adv,8339-003xOP Adv,2016,HCRS,11,p3,4,3,,0,,4,7,5,"dark purple CR type, use for color",,
9063-011,DG,8339-003,OP ADV,8339-003xOP ADV,2016,HCRS,11,p3,5,"3,4",,0,,6,6,6,"Purple CR type, variable leaves. Open havit. Nice plant ADV?",,
9063-012,DG,8339-003,OP Adv,8339-003xOP Adv,2016,HCRS,"4, 3",p2,4,2,,5,,3,5,5,"cool dwarf purple heart, savoy, flowering, some frosting",,
9063-026,DG,8339-003,OP ADV,8339-003xOP ADV,2016,HCRS,"3,4",p4,6,"3,4",,B3,,4,7,6,Dark purple heart w/ pointy tip to leaf. Slight savoy. Good looking plant. ADV?,,
9067-028,DG/MR,8512-014,OP ILL,8512-014xOP ILL,2016,HCRS,"1,4",0-1,6,2-3,,4,,4,9,5,"lime shappy Illusion, okay habit, rosette tips",,
9067-032,DG/MR,8512-015,OP ILL,8512-015xOP ILL,2016,HCRS,1,0-1,5,3,,1,,5,5,,"lime, bleacing, no pigment. Cross into reds, very deep lobes",,
9068-048,DG,8524-050,OP,8524-050xOP,2012,HCRS,5,1,7,"2,6,8",,0,,8,4,6,"Lime almost climber, vigorous, slight bronzze margin and edges on new leaves, small variable leaves. ",,
9068-054,DG/MR,8524-050,OP ADV,8524-050xOP ADV,2016,HCRS,4.5,1,8,"0,1",,b1,,6,6,5,"Dwarf lime, branchy, leaf curls back at tip, virus?",,
9071-003,DG/MR,8666-001,OP CRW,8666-001xOP CRW,2016,HCRS,11,"1,0",4,6 low,,-,,6,3,4,"lime crown, washes out, best crown lime, bring a lime tweener in",,
9074-005,DG,8816-041,OP,8816-041xOP,2016,HCRS,4,p2,3,3,,0,,5,4,5,"Cool savoy purple w/ cupped leaf, EBG, cross to savoys, thick stems, BW type??",,
9074-018,DG,8816-041,OP,8816-041xOP,2016,HCRS,"12,4",p3,4,3,,0,,6,8,6,"Nice Dark SC type, cupped leaf, lobesto fat, excellent olor, breed to upright crowns",,
9080-025,DG/MR,8822-002,OP,8822-002xOP,2016,HCRS,1,0-1,5,3,,4,,4,6,5,"lime, dissected, cross to Dark Red, Illusion, Pollen, In Bad Spot",,
9080-071,DG/MR,8822-003,OP,8822-003xOP,2016,HCRS,11,"1,0",5,3,,-,,7,3,4,"lime crown, color is bad, beaching, burning, excellent CR leaf and vigor Cross into uniform limes",,
9085-002,DG/MR,8823-001,OP Crw,8823-001xOP Crw,2016,HCRS,11,"0,1",4,3,,-,,5,3,4,"exc crown leaf with very poor color, sl burning, x with uniform limes only, sli virus.  Use",,
9089-005,DG,8824-011,OP,8824-011xOP,2016,HCRS,12,P3,4,3,,0,,4,7,5,"Nice dark crown w/ flat leaf base, has ""space"". Good looking plant. Not very vigourous.",,
9089-011,DG,8824-011,OP,8824-011xOP,2016,HCRS,,p3,6,3,,5,,,8,,Nice dark highly dissected leaf. Good color. Breed to purple IL types.,,
9090-006,DG,8824-037,OP,8824-037xOP,2012,HCRS,4,P2,3,"2,4",,0,,3,5,5,,,
9090-008,DG,8824-037,OP,8824-037xOP,2012,HCRS,7,P2,5,"3,4",,5,,4,6,6,,,
9090-020,DG,8824-037,OP,8824-037xOP,2012,HCRS,11,P2,5,3,,0,,6,7,6,Nice crown type. Good color and plant habit. Central lobe too fat. Cross to thin leaved crowns ,,
9091-001,DG,8825-070,OP,8825-070xOP,2012,HCRS,12,10,6,"3,4",,5,,5,5,5,"Red SC type, EBG. Fat central lobe, good base + color, didn’t hold color well Breeding only",,
9091-006,DG,8825-070,OP,8825-070xOP,2012,HCRS,4,P3,5,3,,B4,,5,7,4,"Compact plant with rough savoy, some cupping. Good plant habit. Thin stems",,
9094-002,DG,8828-015,OP,8828-015xOP,2012,HCRS,4,P2,7,"3,4",,7,,6,5,6,,,
9101-001,DG/MR,8835-001,OP Crw,8835-001xOP Crw,2016,HCRS,11r,1,4,3,,b4,,4,6,6,"uniform lime with exc crown leaf, ok plant, nice",,
9102-004,DG/MR,8835-007,OP,8835-007xOP,2016,HCRS,"11,12",1,3,3,,b5,,6,7,5,"very uniform lime, SC type, X with crown limes for uniformity, nice matte finish",,
9105-025,DG/MR,8840-003,OP,8840-003xOP,2016,HCRS,4 sav,0,3,3,,-,,6,5,5,"savoy big leaf lime, thick stems, long petiole",,
9107-004,DG,8842-010,OP,8842-010xOP,2012,HCRS,9,P3,5,3,,5,,5,6,4,Flagged for purple tips. Use to increase tip color?,,
9108-030,DG,8842-024,OP,8842-024xOP,2016,HCRS,10,p1,6,3,,6,,5,6,5,"dark purple heart with teeth, cross to bw purple type, flowering",,
9109-002,DG,8843-010,OP,8843-010xOP,2012,HCRS,6,1,4,3,,"5,5",,,3,4,"White flowering lime, slight blush in throat, show  nicely but in very tough spot. Fertile",,
9109-011,DG,8835-001,OP CRW,8835-001xOP CRW,2012,HCRS,5,0,4,"6,8",,6,,6,5,6,Lime climber from different background with flowering. Light base GRAFT/CUTTING,,
9110-007,DG,8843-012,OP,8843-012xOP,2012,HCRS,10,1,5,3,,6,,6,4,5,"Interesting leaves. Hastate, toothed, mixed. Tothing on central lobe. Free flowering",,
9110-059,DG/RD,8843-012,OP,8843-012xOP,2016,HCRS,"10,9",1,4,"3,4",,3,,7,4,6,"good plant habit, poor color, nice cup leaves, large, slight savoy, use for red bw",,
9110-064,DG/RD,8843-012,OP,8843-012xOP,2016,HCRS,"10,9",1,6,1,,6,,4,6,6,"nice compact lime with teeth, red margin, use for plant habit, color and teeth",,
9110-066,DG/RD,8843-012,OP,8843-012xOP,2016,HCRS,9,1,6,1-2,,5,,6,5,6,"red tip, not good tips, transition poor, plant habit very good, color ok, use for plant habit",,
9110-067,DG/RD,8843-012,OP,8843-012xOP,2016,HCRS,9,1,5,2,,5,,4,5,5,"color ok, plant habit good, nice dark tips, ok transition, needs lighter base",,
9110-071,DG/RD,8843-012,OP,8843-012xOP,2016,HCRS,"9,10",1,5,3,,5-6,,5,5,5,"red tip bw type, dark tips, good transition, leaves too large, color too green.  Use for leaf shape and overall ok",,
9110-077,DG,8843-012,OP,8843-012xOP,2012,HCRS,6,1,4,3,,6s,,,4,,"Almost pure white flower, nice contrast with lime, highly fertile.. RESCUE SEED",,
